Considering the following 400 assemblies for download:
GCF_003261955.2	Klebsiella pneumoniae
GCF_003267985.1	Klebsiella pneumoniae
GCF_003285145.1	Klebsiella pneumoniae subsp. pneumoniae
GCF_003286975.1	Klebsiella pneumoniae subsp. pneumoniae
GCF_003286995.1	Klebsiella pneumoniae subsp. pneumoniae
GCF_003288375.1	Klebsiella pneumoniae
GCF_003330945.1	Klebsiella pneumoniae subsp. pneumoniae
GCF_003367555.1	Klebsiella pneumoniae
GCF_003408615.1	Klebsiella pneumoniae
GCF_003428845.1	Klebsiella pneumoniae subsp. pneumoniae
GCF_003429545.1	Klebsiella pneumoniae
GCF_003432145.1	Klebsiella pneumoniae
GCF_003432165.1	Klebsiella pneumoniae
GCF_003432185.1	Klebsiella pneumoniae
GCF_003432205.1	Klebsiella pneumoniae
GCF_003432225.1	Klebsiella pneumoniae
GCF_003432245.1	Klebsiella pneumoniae
GCF_003432265.1	Klebsiella pneumoniae
GCF_003432285.1	Klebsiella pneumoniae
GCF_003432405.1	Klebsiella pneumoniae
GCF_003443755.1	Klebsiella pneumoniae
GCF_003571525.1	Klebsiella pneumoniae
GCF_003571545.1	Klebsiella pneumoniae
GCF_003571585.1	Klebsiella pneumoniae
GCF_003571605.1	Klebsiella pneumoniae
GCF_003571645.1	Klebsiella pneumoniae
GCF_003571705.1	Klebsiella pneumoniae
GCF_003571745.1	Klebsiella pneumoniae
GCF_003574235.1	Klebsiella pneumoniae
GCF_003574255.1	Klebsiella pneumoniae
GCF_003574275.1	Klebsiella pneumoniae
GCF_003584585.1	Klebsiella pneumoniae
GCF_003590665.1	Klebsiella pneumoniae
GCF_003597695.1	Klebsiella pneumoniae
GCF_003597715.1	Klebsiella pneumoniae
GCF_003597735.1	Klebsiella pneumoniae
GCF_003597755.1	Klebsiella pneumoniae
GCF_003660185.1	Klebsiella pneumoniae
GCF_003660205.1	Klebsiella pneumoniae
GCF_003692695.1	Klebsiella pneumoniae
GCF_003711065.1	Klebsiella pneumoniae
GCF_003790485.1	Klebsiella pneumoniae
GCF_003812085.1	Klebsiella pneumoniae
GCF_003812105.1	Klebsiella pneumoniae
GCF_003850165.1	Klebsiella pneumoniae subsp. pneumoniae
GCF_003855315.1	Klebsiella pneumoniae
GCF_003855335.1	Klebsiella pneumoniae
GCF_003855515.1	Klebsiella pneumoniae subsp. pneumoniae
