Considering the following 462 assemblies for download:
GCF_900474995.1	Streptococcus pyogenes
GCF_900475005.1	Streptococcus pyogenes
GCF_900475035.1	Streptococcus pyogenes
GCF_900475075.1	Streptococcus pyogenes
GCF_900475085.1	Streptococcus pyogenes
GCF_900475105.1	Streptococcus pyogenes
GCF_900475115.1	Streptococcus pyogenes
GCF_900475135.1	Streptococcus pyogenes
GCF_900475155.1	Streptococcus pyogenes
GCF_900475165.1	Streptococcus pyogenes
GCF_900475175.1	Streptococcus pyogenes
GCF_900475335.1	Streptococcus pyogenes
GCF_900475425.1	Streptococcus pyogenes
GCF_900475455.1	Streptococcus pyogenes
GCF_900475465.1	Streptococcus pyogenes
GCF_900475475.1	Streptococcus pyogenes
GCF_900475485.1	Streptococcus pyogenes
GCF_900475495.1	Streptococcus pyogenes
GCF_900475525.1	Streptococcus pyogenes
GCF_900475565.1	Streptococcus pyogenes
GCF_900475615.1	Streptococcus pyogenes
GCF_900475645.1	Streptococcus pyogenes
GCF_900475705.1	Streptococcus pyogenes
GCF_900475765.1	Streptococcus pyogenes
GCF_900475785.1	Streptococcus pyogenes
GCF_900475795.1	Streptococcus pyogenes
GCF_900475865.1	Streptococcus pyogenes
GCF_900475875.1	Streptococcus pyogenes
GCF_900475925.1	Streptococcus pyogenes
GCF_900475955.1	Streptococcus pyogenes
GCF_900475985.1	Streptococcus pyogenes
GCF_900476015.1	Streptococcus pyogenes
GCF_900608505.1	Streptococcus pyogenes
GCF_900636485.1	Streptococcus pyogenes
GCF_900636725.1	Streptococcus pyogenes
GCF_000164675.2	Streptococcus parasanguinis ATCC 15912
GCF_000262145.1	Streptococcus parasanguinis FW213
GCF_002073795.1	Streptococcus sp. 'group B'
GCF_900187245.1	Streptococcus acidominimus
GCF_000463465.1	Streptococcus anginosus C1051
GCF_000463505.1	Streptococcus anginosus C238
GCF_000478925.1	Streptococcus anginosus subsp. whileyi MAS624
GCF_000831165.1	Streptococcus anginosus
GCF_001412635.1	Streptococcus anginosus
GCF_900636475.1	Streptococcus anginosus
GCF_000010705.1	Streptococcus dysgalactiae subsp. equisimilis GGS_124
GCF_000188715.1	Streptococcus dysgalactiae subsp. equisimilis ATCC 12394
GCF_000307185.1	Streptococcus dysgalactiae subsp. equisimilis RE378
GCF_000317855.1	Streptococcus dysgalactiae subsp. equisimilis AC-2713
GCF_900474785.1	Streptococcus dysgalactiae subsp. equisimilis
GCF_900475145.1	Streptococcus dysgalactiae subsp. equisimilis
GCF_900475185.1	Streptococcus dysgalactiae subsp. equisimilis
GCF_900475255.1	Streptococcus dysgalactiae subsp. equisimilis
GCF_900475725.1	Streptococcus dysgalactiae subsp. equisimilis
GCF_900635345.1	Streptococcus dysgalactiae subsp. dysgalactiae
GCF_900636815.1	Streptococcus dysgalactiae subsp. equisimilis
GCF_002073515.1	Streptococcus equinus
